Day, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1,15.8,32.3,44.5,46.3,60.5,52.8,70.3,75.8,75.8,59,47.3,48.3
2,30.5,26,51.3,53.8,47.5,59.5,72.5,78.3,75.8,60.5,49.3,46.3
3,37.3,26.8,50.5,51.8,43.3,64.8,77,76.5,72,61.3,43.3,41
4,37,24,42.3,55.5,47,69.8,78.8,77.3,73.3,61.3,42.8,46
5,29.5,33.5,37.3,54.5,52,72.8,76.5,79,76.8,62.5,52,42
6,22.3,33,33.3,42,59.8,70.8,73.3,80.8,79.3,62.8,49.8,29.3
7,35,34.5,36,43.8,67.3,70,74.5,73,76.3,53.3,53.8,38.3
8,32.3,29.5,40.5,48.3,59.8,68.5,81.3,77,76.8,58.8,48.8,36
9,27.3,28.8,32.5,49.5,50,73.3,82.8,81.3,67,58.3,40.5,35.8
10,32.8,33.3,21.5,46.3,49.5,75,79.5,79.3,63.8,56.8,41.3,31.5
11,37,23.8,26.5,44.3,52.5,73,70.5,78.8,70.3,56,33.5,38
12,39.8,15,39,38.5,52.3,74.3,76.5,79.5,71,48.5,34.3,44
13,49,19.3,39,34,57.5,77.8,77.3,76,72,47.8,43,32.3
14,34.8,18.5,35,39.5,60.5,73.3,76.8,79,66.5,51.3,34.8,37
15,32.3,22.5,38.5,39.3,61,75.3,76,74.3,68.8,46,43,27
16,37.8,21.8,35.5,37.3,61,77.8,77.8,72.5,71.5,49.5,41.8,24.5
17,40.5,21.5,31,43.8,61.8,81.3,78,75.5,63.3,54,24.5,21.8
18,35.8,28,30.3,43.8,58,77.8,80.5,77.5,69.8,57,24.5,25.5
19,27.3,36.3,39,44.5,60.8,76,80.5,72.5,74.3,52.3,37,37.3
20,34,44.5,50.5,38.3,50.8,70.5,80.5,67.3,66,52.5,38,36.8
21,31.8,29.8,38.5,45.8,54,63,80,70.8,54.5,57.3,38.5,31.8
22,31.5,21.8,34.8,53.5,53.8,71.3,83,74,58,59.3,44.3,15.8
23,34.8,23,38.8,47.5,55.8,78,81,74.3,66.3,54,46.8,22.8
24,32,21.3,42.5,45.3,51.5,74,75.3,74.8,62.8,46.3,35.8,33.3
25,22,17.8,43,52.3,58,65.8,77.3,72.3,64.3,54,40.8,39.3
26,19,25,48.3,59.3,62.8,63.3,76.8,73,69.3,52.8,49.3,35.8
27,16.5,33.5,46.3,54.8,66.8,67.5,77.5,76.5,69.8,43.3,40,38.8
28,30.3,37.3,54.8,53.8,67,69.3,77.3,77.8,68.8,45.8,43.8,32
29,42.5, M,46.8,53,61.3,70.8,77.5,70.8,64,52.3,35,22.5
30,37.5,  -,34.3,56.5,54,70.3,77.3,75.3,58.8,50,32.3,28.8
31,38.8,  -,40.3,  -,53,  -,75.3,78,  -,45.8,  -,30.8
